jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50398615,https://www.seek.co.nz/job/50398615,"Senior Veterinary Nurse Job in Wellington - SEEK","Carevets Business Solutions","7 Sept 2020","Full Time","Wellington, Porirua & Kapiti Coast",Farming,"Veterinary Services & Animal Welfare","","  ","How many years","","TXT/50398615.txt	§Senior Veterinary Nurse§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Senior Veterinary Nurse§§Advertiser: §Carevets Business Solutions§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Wellington§, §Porirua &amp; Kapiti Coast§§Work Type§§Full Time§§Classification§§Farming, Animals &amp; Conservation§, §Veterinary Services &amp; Animal Welfare§§§§§§Exciting opportunities have arisen for experienced Veterinary Nurses to join our fantastic teams!§ § §Competitive remuneration§ §A real focus on personal development – grow your career with us§ §Non-corporate family workplace culture – join the CareVets family§ § §  §About the Roles§  §As an experienced Veterinary Nurse, you already have a pretty good idea as to the day-to-day requirements of being a great member of the dynamic nursing team behind any great clinic.  Here are just a few of the key responsibilities that you will be contributing to together with the rest of our team:§ § §Hand-on surgical &amp; diagnostic assistance§ §Patient monitoring &amp; treatment§ §Heading up a team of nurses§ §We currently have vacancies at our Porirua and Kilbirnie clinics which are for full-time roles.  We are always on the lookout for great talent however so feel free to get in touch to talk about possible options.§  § §  §About You§ § §Genuinely care for pets, your colleagues and our clients§ §Work well both in a team and independently§ §High level of integrity and are interested in continued development§ §Good communicator§ §Minimum 2 years experience as a practicing Veterinary Nurse§ §Leadership experience preferred§ §What’s on Offer?§ § §Generous remuneration§ - commensurate with experience and role type§ §Strong focus on personal development§ with an ongoing focus on your career interests§ §Non-corporate family workplace culture§ – become a member of the CareVets family§ §Fantastic location§ §Work-Life balance is important to us§, so rosters are geared with this in mind§ §Dynamic &amp; supportive clinic team§ along with a responsive leadership team§ §Access to a wide network§ of like-minded colleagues across the North Island (and the opportunities that come with such a network)§ § §  §To express your interest in this role ‘apply now’ via SEEK with your CV and cover letter attached.  Any applicants shortlisted will be contacted directly.§§§§The application form will include these questions:§§How many years&#x27; experience do you have as a nurse?§How much notice are you required to give your current employer?§Have you completed a qualification in veterinary nursing?§§§"
50413621,https://www.seek.co.nz/job/50413621,"Part-Time Veterinary Nurse Job in Waikato - SEEK","Carevets Business Solutions","10 Sept 2020","Part Time","Waikato, Hamilton",Farming,"Veterinary Services & Animal Welfare","","  ","How many years","applicants for this position should have NZ residency or a valid NZ work visa","TXT/50413621.txt	§Part-Time Veterinary Nurse§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Part-Time Veterinary Nurse§§Advertiser: §Carevets Business Solutions§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Waikato§, §Hamilton§§Work Type§§Part Time§§Classification§§Farming, Animals &amp; Conservation§, §Veterinary Services &amp; Animal Welfare§§§§§§Looking for an exciting and challenging new role in emergency and after-hours nursing?!§ §At Waikato After Hours Veterinary Hospital, we work nights, weekends and public holidays and strive to offer the best medicine and care possible for our patients and clients regardless of the time of the day.§ §We are a fun, passionate, welcoming and supportive bunch of vets and nurses and work very well as a team.  We provide after-hours services for all the primary clinics in Hamilton and surrounding areas.  We are looking for a friendly and dedicated vet nurse with a minimum of two years’ experience to join us who is keen to extend their knowledge and take that next exciting step in their career!§ §We are after a part-timer for weekend and public holiday work.  This position might be suitable for someone that is in a primary clinic during the week and wants to have a go at emergency nursing, or someone that is after a foot in the door to potentially become a full-timer down the track.  Maybe you have been on maternity leave or home with children and would like to get back into the industry part-time in an exciting and rewarding role.§ §Your responsibilities will include:§ § §client relations§ §patient evaluation and triage§ §care and monitoring of hospitalised patients and critical transfers§ §taking bloods and placing IV catheters§ §anaesthetic monitoring of high-risk patients§ §digital radiography, CT scans and lab testing§ §fluid therapy and blood transfusion monitoring§ §We have an onsite full IDEXX laboratory and blood gas capabilities, smart flow inpatient hospital system, digital radiography, ultrasound, CT, oscillometric blood pressure, doppler, capnography, ECG, endoscopy, fluid therapy and more.  We also have access to an Emergency and Critical Care Specialist who provides in-house tutorials on various relevant topics.§ §You will be able to work well in a fast-paced environment and must be:§ § §self-motivated and good at multi-tasking§ §able to communicate effectively with clients and staff§ §a good team player and willing to work extra hours if needed§ §enthusiastic and compassionate§ §skilled at using computers and being familiar with Vetlink software would be an advantage§ §a qualified veterinary nurse with at least 2 years experience§ §applicants for this position should have NZ residency or a valid NZ work visa§ §Experience in emergency nursing would be beneficial but not essential.  Full training on our emergency protocols will be provided.§ §We provide a competitive remuneration commensurate with experience and advancement in the practice, continuing education, new skills and learning opportunities on every shift, and you get to use your skills each day you work!§ §Applications for this position will remain open until we find a great match for the team.  If you are interested but are not keen to commit to regular shifts, we are always on the lookout for locum nurses.§ §To express your interest in this role ‘apply now’ via SEEK with your CV and cover letter attached.  Any applicants shortlisted will be contacted directly.§§§§The application form will include these questions:§§How many years&#x27; experience do you have as a nurse?§How much notice are you required to give your current employer?§Have you completed a qualification in veterinary nursing?§§§"
50413656,https://www.seek.co.nz/job/50413656,"Full-Time Veterinary Nurse Job in Waikato - SEEK","Carevets Business Solutions","10 Sept 2020","Full Time","Waikato, Hamilton",Farming,"Veterinary Services & Animal Welfare","","  ","How many years","applicants for this position should have NZ residency or a valid NZ work visa","TXT/50413656.txt	§Full-Time Veterinary Nurse§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Full-Time Veterinary Nurse§§Advertiser: §Carevets Business Solutions§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Waikato§, §Hamilton§§Work Type§§Full Time§§Classification§§Farming, Animals &amp; Conservation§, §Veterinary Services &amp; Animal Welfare§§§§§§Looking for an exciting and challenging new role in emergency and after-hours nursing?!§ §At Waikato After Hours Veterinary Hospital, we work nights, weekends and public holidays and strive to offer the best medicine and care possible for our patients and clients regardless of the time of the day.§ §We are a fun, passionate, welcoming and supportive bunch of vets and nurses and work very well as a team.  We provide after-hours services for all the primary clinics in Hamilton and surrounding areas.  We are looking for a friendly and dedicated vet nurse with a minimum of two years’ experience to join us who is keen to extend their knowledge and take that next exciting step in their career!§ §This is a permanent full-time position made up of a combination of weekend and nightshifts including overnight shifts.  The roster is designed to give you the best work/life balance possible, whilst working nights and weekends.§ §Your responsibilities will include:§ § §client relations§ §patient evaluation and triage§ §care and monitoring of hospitalised patients and critical transfers§ §taking bloods and placing IV catheters§ §anaesthetic monitoring of high-risk patients§ §digital radiography, CT scans and lab testing§ §fluid therapy and blood transfusion monitoring§ §We have an onsite full IDEXX laboratory and blood gas capabilities, smart flow inpatient hospital system, digital radiography, ultrasound, CT, oscillometric blood pressure, doppler, capnography, ECG, endoscopy, fluid therapy and more.  We also have access to an Emergency and Critical Care Specialist who provides in-house tutorials on various relevant topics.§ §You will be able to work well in a fast-paced environment and must be:§ § §self-motivated and good at multi-tasking§ §able to communicate effectively with clients and staff§ §a good team player and willing to work extra hours if needed§ §enthusiastic and compassionate§ §skilled at using computers and being familiar with Vetlink software would be an advantage§ §a qualified veterinary nurse with at least 2 years experience§ §applicants for this position should have NZ residency or a valid NZ work visa§ §Experience in emergency nursing would be beneficial but not essential.  Full training on our emergency protocols will be provided.§ §We provide a competitive remuneration commensurate with experience and advancement in the practice, continuing education, membership with the NZVNA, new skills and learning opportunities on every shift, and you get to use your skills each day you work!§ §Applications for this position will remain open until we find a great match for the team.  If you are interested but are not keen for full time, we are always on the lookout for part-time/locum nurses.§ §To express your interest in this role ‘apply now’ via SEEK with your CV and cover letter attached.  Any applicants shortlisted will be contacted directly.§§§§The application form will include these questions:§§How many years&#x27; experience do you have as a nurse?§How much notice are you required to give your current employer?§Have you completed a qualification in veterinary nursing?§§§"
50416241,https://www.seek.co.nz/job/50416241,"Veterinarian Job in Waikato - SEEK","Carevets Business Solutions","13 Sept 2020","Full Time","Waikato, Hamilton",Farming,"Veterinary Services & Animal Welfare",clinicmanager@wavh.co.nz,"","","Which of the following statements best describes your right to work in New Zealand?","TXT/50416241.txt	§Veterinarian§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Veterinarian§§Advertiser: §Carevets Business Solutions§§More jobs from this company§§§§Job Information§§Job Listing Date§§13 Sept 2020§§Location§§Waikato§, §Hamilton§§Work Type§§Full Time§§Classification§§Farming, Animals &amp; Conservation§, §Veterinary Services &amp; Animal Welfare§§§§§§Veterinarian Position at Waikato After Hours Veterinary Hospital§ §Waikato After Hours Veterinary Hospital§ has a vacancy for a small animal veterinarian.  A great opportunity for someone who wants an interesting caseload (no nail clips here) well supported by highly trained nurses and motivated veterinary colleagues.  A registered Emergency/Critical Care specialist works in the adjacent Referral Centre during the day. § §We are seeking a Vet with an interest in Emergency medicine and Critical care, previous experience in this field is not essential but you will need to be comfortable with sole charge and surgical procedures.  A passion to provide high standards of care and thoroughly work up cases is complemented by the well-equipped practice which has a full in house lab, digital x-ray, ultrasound, CT scanner and multi parameter monitoring equipment.§ §There is a comfortable flat above the clinic for the vet rostered on to use.  The roster can be flexible to suit your needs; 2-3 shifts a week. § §The remuneration is attractive and there is also a bonus system in place.  The team culture is supportive, dedicated and enthusiastic.§ §Applicants must have a current New Zealand Practicing certificate and Work Visa to apply and position start date is as soon as possible.§ §If you have any questions or wish to express an interest, please email §clinicmanager@wavh.co.nz§ §Check us out on www.wavh.co.nz  or our facebook page.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Have you completed a qualification in veterinary science?§How much notice are you required to give your current employer?§Are you willing to relocate for this role?§§§"
50426046,https://www.seek.co.nz/job/50426046,"Mixed Animal Clinician - Veterinarian Job in Auckland - SEEK","Wellsford Vet Clinic","16 Sept 2020","Full Time","Auckland, Rodney & North Shore",Farming,"Veterinary Services & Animal Welfare",stevethevet@outlook.com," 021 357 341  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50426046.txt	§Mixed Animal Clinician - Veterinarian§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Mixed Animal Clinician - Veterinarian§§Advertiser: §Wellsford Vet Clinic§§More jobs from this company§§§§Job Information§§Job Listing Date§§16 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Farming, Animals &amp; Conservation§, §Veterinary Services &amp; Animal Welfare§§§§§§ § §Wellsford§ §Mixed animal clinician§ § §Helping grow: people, animal health, profit.§ §Veterinarian (New Zealand Registered) - mixed animal clinician, new graduate considered.§ §Wellsford Vets are proud of our client engagement and are focused on leading production medicine for our dairy, beef &amp; sheep farmers. We are all interested in improving our knowledge, skills and client relationships and are seeking a similar like-minded colleague. Computer literacy and Infovet knowledge would be advantageous.§ §We are a 4 vet mixed animal team who enjoy coffee together every morning: sharing stories of personal interest and weather, beef, lamb and Fonterra payment schedules and the odd clinical case.§ §Our equally shared workload is approximately 1.5 fulltime small animal vet equivalent, 2.5 fulltime production animal vet equivalents.§ §There is a selection of high schools, primary schools, beaches, lifestyle blocks and grazing farms within our practice area. Auckland’s CBD is only 77km and this gives us the advantage of living rural and enjoying the multitude of city options of cultural activities, sports, leisure, schooling and shopping.§ §Enquires/applications§ §Steve McAulay BVSc | 021 357 341 | §stevethevet@outlook.com§ §Wellsford Vet Clinic | 116 Rodney Street | Wellsford 0900 | §09 423 8008§ § § § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Have you completed a qualification in veterinary science?§Do you have a current New Zealand driver&#x27;s licence?§§§"
50485499,https://www.seek.co.nz/job/50485499,"Poultry Workers Required! Job in Waikato - SEEK","Superior Personnel Ltd","30 Sept 2020",Casual/Vacation,"Waikato, Rest of Waikato",Farming,"Farm Labour",kya@superiorpersonnel.co.nz,"  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50485499.txt	§Poultry Workers Required!§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Poultry Workers Required!§§Advertiser: §Superior Personnel Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§30 Sept 2020§§Location§§Waikato§, §Rest of Waikato§§Work Type§§Casual/Vacation§§Classification§§Farming, Animals &amp; Conservation§, §Farm Labour§§§§§§§§§  §    §      §      §Poultry Workers Required! §      §        §DO YOU LOVE CHICKENS?§§Our client is based in Tuakau and are looking for reliable go-getters to join their busy team. You will be working with chickens, feeding, cleaning and taking care of their needs. This role would be well suited to someone who loves animals and working independently.§ §        §If you:§ §        §          §Are physically fit –  (lift up to 15kgs, lots of moving around, standing on feet for long hours ect…)§          §Have your own reliable transport to get to and from work§          §Do not mind smelly and dusty work environments§          §And are not afraid of birds!§        §        §Then apply now!§§What’s in it for you?§ §        §          §Immediate start§          §Why pay for a gym membership when you can get paid to work out?§          §Working with chickens of course!§          §Regular breaks§          §Potential to go permanent for the right person§          §Training and P.P.E gear provided§        §        §§The successful candidate:§ §        §          §Available to work weekdays and weekends§          §Is task driven§          §Has an impeccable attention to detail§          §Solid work ethic§          §Excellent communication§          §Physically fit§          §Doesn’t mind getting stuck in and getting their hands dirty§        §        §§Days/hours required:§ §        §          §7am – 3:30pm§          §Monday – Sunday§          §Rostered weekends§        §        §or§        §          §Monday's and Friday's§          §1am - 9am§        §        §Main duties include:§ §        §          §Egg collection - Urgency when picking up eggs and an impeccable eye for detail when identifying injured or sick chickens.§          §General maintenance and cleaning§          §Ensuring the chickens always, have access to food and water§          §Assisting staff with vaccinations and weighing of birds§          §Changing nest materials§          §Record keeping§        §        §§Note: You will be required to comply with the strict bio-security regulations within the poultry industry which includes not having any birds, pigs or chickens at your place of residence or contact with any farm animals within the last 48hrs.§§If this opportunity sounds great to you, then click the apply button now!§        § §        §Applicants for this position should have NZ residency or a valid NZ work visa.§      §      §Kya§(09) 274 1094§kya@superiorpersonnel.co.nz§ §    §  §§§DO YOU LOVE CHICKENS?§§Our client is based in Tuakau and are looking for reliable go-getters to join their busy team. You will be working with chickens, feeding, cleaning and taking care of their needs. This role would be well suited to someone who loves animals and working independently.§ § §If you:§ § § §Are physically fit –  (lift up to 15kgs, lots of moving around, standing on feet for long hours ect…)§ §Have your own reliable transport to get to and from work§ §Do not mind smelly and dusty work environments§ §And are not afraid of birds!§ §Then apply now!§§What’s in it for you?§ § § §Immediate start§ §Why pay for a gym membership when you can get paid to work out?§ §Working with chickens of course!§ §Regular breaks§ §Potential to go permanent for the right person§ §Training and P.P.E gear provided§ §§The successful candidate:§ § § §Available to work weekdays and weekends§ §Is task driven§ §Has an impeccable attention to detail§ §Solid work ethic§ §Excellent communication§ §Physically fit§ §Doesn’t mind getting stuck in and getting their hands dirty§ §§Days/hours required:§ § § §7am – 3:30pm§ §Monday – Sunday§ §Rostered weekends§ §or§ § §Monday's and Friday's§ §1am - 9am§ §Main duties include:§ § § §Egg collection - Urgency when picking up eggs and an impeccable eye for detail when identifying injured or sick chickens.§ §General maintenance and cleaning§ §Ensuring the chickens always, have access to food and water§ §Assisting staff with vaccinations and weighing of birds§ §Changing nest materials§ §Record keeping§ §§Note: You will be required to comply with the strict bio-security regulations within the poultry industry which includes not having any birds, pigs or chickens at your place of residence or contact with any farm animals within the last 48hrs.§§If this opportunity sounds great to you, then click the apply button now!§ § § §Applicants for this position should have NZ residency or a valid NZ work visa.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have a current New Zealand driver&#x27;s licence?§Do you own or have regular access to a car?§Which of the following days and times are you available to work?§What&#x27;s your preferred work type?§§§"
50524624,https://www.seek.co.nz/job/50524624,"KIWIFRUIT SUMMER SEASON (HOURLY) Job in Bay of Plenty - SEEK","KIWIPRO CONTRACTING LIMITED","7 Sept 2020","Full Time","Bay of Plenty, Rest of Bay of Plenty",Farming,Horticulture,"Instagram: @KiwiProNz",0273990002,"","Which of the following statements best describes your right to work in New Zealand?","TXT/50524624.txt	§KIWIFRUIT SUMMER SEASON (HOURLY)§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§KIWIFRUIT SUMMER SEASON (HOURLY)§§Advertiser: §KIWIPRO CONTRACTING LIMITED§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Bay of Plenty§, §Rest of Bay of Plenty§§Work Type§§Full Time§§Classification§§Farming, Animals &amp; Conservation§, §Horticulture§§§§§§LOOKING FOR HOURLY WORK????§ §WE HAVE 100-120 POSITIONS AVAILABLE FOR THIS SUMMER SEASON. WE WILL BE DOING DIFFERENT JOBS (Fruit thinning, Male Trimming, Leader work, etc.) IN KIWIFRUIT ORCHARDS AROUND TEPUKE/TAURANGA AREA. THIS SEASON WILL BE ONE OF OUR BUSIEST SEASON EVER, STARTING FROM OCTOBER TO MARCH. WE HAVE PEOPLE WORKING FROM MANY DIFFERENT COUNTRIES. YOU WILL LOVE THE ENVIRONMENT WE PROVIDE AT WORKPLACE. WE HAVE: § § §FULL TIME / PART TIME§ §ALL WORK IS HOURLY AND EASY§ §WEEKLY PAYROLL§ §TRANSPORT PROVIDED§ §9/10 HOURS A DAY, 7 DAYS A WEEK (WEEKEND OPTIONAL)§ §NO EXPERIENCE REQUIRED§ §WE ARE ALREADY SIGNING CONTRACTS WITH PEOPLE WHO WANTS TO SECURE THEIR POSITION. GIVE US A QUICK CALL TO FIND OUT MORE.§  §FOR MORE INFO CONTACT US ANYTIME AT §0273990002§ OR §kiwipronz@gmail.com§  §Please follow us on:§  §Facebook @KiwiPro§  §Instagram: @KiwiProNz§  §Applicants for this position should have NZ residency or a valid NZ work visa.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Are you available to work school holidays?§Are you available to work outside your usual hours when required? (e.g. weekends, evenings, public holidays)§How far are you willing to travel for work?§What&#x27;s your preferred work type?§§§"
50524700,https://www.seek.co.nz/job/50524700,"Head of NZ Crop Testing & Operations Job in Auckland - SEEK","OCG Consulting Ltd","7 Sept 2020","Full Time","Auckland, Papakura & Franklin",Farming,"Agronomy & Farm Services",""," 021 722 879",""," right to live and work ","TXT/50524700.txt	§Head of NZ Crop Testing &amp; Operations§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Head of NZ Crop Testing &amp; Operations§§Advertiser: §OCG Consulting Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Papakura &amp; Franklin§§Work Type§§Full Time§§Classification§§Farming, Animals &amp; Conservation§, §Agronomy &amp; Farm Services§§§§§§§§§  §    §      §Head of NZ Crop Testing &amp; Operations §    §    §      §        §Leadership opportunity within crop research and development § §        §Based in Pukekohe - the heart of Auckland's 'food bowl' § §        §Competitive remuneration package on offer - Apply Today! § §      §      §        §The Bayer Crop Science vegetable seed business serves open-field and protected culture customers through its brands Seminis® and De Ruiter™. Their mission is to deliver products that provide yield and value to their customers, and more tasty and healthy vegetables to the consumer.§        § §        §There currently exists an opportunity to join their Vegetable R&amp;D Division, as Head of their NZ Testing and Operations. This is an exciting role that will see you, leading a small team, testing crops under development and managing operations at their Pukekohe Station. This facility is currently focused on the development and testing of Onion hybrids.§        § §        §The Pukekohe Station was recently developed and is well set up with excellent infrastructure and equipment on site, it is also the base for the Commercial Operations teams giving you exposure to the broader business, as well interfacing with numerous local growers.§        § §        §You'll ideally have come from the commercial growing industry, ideally with onions experience but we'll also consider applicants with experience in other crops. The role is a blend of R&amp;D and Operations with more of a slant to operations so you'll need to be able to demonstrate the practical and operational skills to grow onions and/or other crops. You'll need to be familiar with industry best practices including land preparation, planting and harvesting, and also be familiar with the use and maintenance of all associated equipment.§        § §        §You'll thrive on working in a fast paced and dynamic team environment, developing plans for and juggling multiple projects and also be comfortable analysing and interpreting data. As part of a global business you'll also get the opportunity to work closely with other crop breeding teams, crop strategy leads and the Regional Head of R&amp;D to develop strategy and track metrics for collaborative breeding in vegetable crops. §        § §        §Also, as part of the broader operations leadership responsibilities you will ensure that the research station remains compliant with all Bayer and National HSE, QMS, regulatory and compliance requirements.§        § §        §To be considered for this opportunity you will ideally have:§        § §        §          §            §A tertiary qualification in horticulture§          §          §            §Demonstrable experience in horticulture operations§          §          §            §Experience with onions or similar large scale open-field growing§          §          §            §Proven leadership experience§          §          §            §Excellent communication skills and collaborative working style §          §        §        § §        §This is an amazing opportunity to join an industry leader and take your career to the next level! If you would like to discuss this role in more detail please apply online or call Mark Charles on 021 722 879§        § §        § §        § §        § §        § §        § §      §      §Please quote Ref no:§MCE68259SKW §        §      §    §    §  §§§The Bayer Crop Science vegetable seed business serves open-field and protected culture customers through its brands Seminis® and De Ruiter™. Their mission is to deliver products that provide yield and value to their customers, and more tasty and healthy vegetables to the consumer.§ §There currently exists an opportunity to join their Vegetable R&amp;D Division, as Head of their NZ Testing and Operations. This is an exciting role that will see you, leading a small team, testing crops under development and managing operations at their Pukekohe Station. This facility is currently focused on the development and testing of Onion hybrids.§ §The Pukekohe Station was recently developed and is well set up with excellent infrastructure and equipment on site, it is also the base for the Commercial Operations teams giving you exposure to the broader business, as well interfacing with numerous local growers.§ §You'll ideally have come from the commercial growing industry, ideally with onions experience but we'll also consider applicants with experience in other crops. The role is a blend of R&amp;D and Operations with more of a slant to operations so you'll need to be able to demonstrate the practical and operational skills to grow onions and/or other crops. You'll need to be familiar with industry best practices including land preparation, planting and harvesting, and also be familiar with the use and maintenance of all associated equipment.§ §You'll thrive on working in a fast paced and dynamic team environment, developing plans for and juggling multiple projects and also be comfortable analysing and interpreting data. As part of a global business you'll also get the opportunity to work closely with other crop breeding teams, crop strategy leads and the Regional Head of R&amp;D to develop strategy and track metrics for collaborative breeding in vegetable crops. § §Also, as part of the broader operations leadership responsibilities you will ensure that the research station remains compliant with all Bayer and National HSE, QMS, regulatory and compliance requirements.§ §To be considered for this opportunity you will ideally have:§ §§A tertiary qualification in horticulture§§Demonstrable experience in horticulture operations§§Experience with onions or similar large scale open-field growing§§Proven leadership experience§§Excellent communication skills and collaborative working style §§ §This is an amazing opportunity to join an industry leader and take your career to the next level! If you would like to discuss this role in more detail please apply online or call Mark Charles on 021 722 879§ § § § § § §§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50525749,https://www.seek.co.nz/job/50525749,"Agronomist / Field Representative Job in Canterbury - SEEK","Townsend Seeds International","7 Sept 2020","Full Time","Canterbury, Timaru & South Canterbury",Farming,"Agronomy & Farm Services","","   ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50525749.txt	§Agronomist / Field Representative§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Agronomist / Field Representative§§Advertiser: §Townsend Seeds International§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Canterbury§, §Timaru &amp; South Canterbury§§Work Type§§Full Time§§Classification§§Farming, Animals &amp; Conservation§, §Agronomy &amp; Farm Services§§§§§§About the business§ § §Townsend Seeds International Ltd is a New Zealand owned and operated Seed Production Company based at Lincoln with a Production Office and Store in Rakaia.§ §We are 24 Years old with a strong reputation for honesty and integrity within the Seed Farming industry.§ §We have a strong presence and knowledge of the International Seed Industry and we currently supply clients in over 30 countries worldwide.§ §Seed is the beginning of the food chain. It is a dynamic and exciting industry.§ § §About the role§ § §We are seeking to employ an experienced Agronomist / Field Representative to service our farmer client base.§ §Your role involves keeping in close contact with our growers, contracting crop with them, advising and assisting with the growing of the crops from sowing to harvesting and cleaning.§ § §Benefits and perks§ § §Townsend Seeds is a TEAM orientated Company that prides itself in providing an enjoyable and rewarding work environment and where effort is recognized with earnings.§ § §Skills and experience§ § §You will take over some existing grower clients and build on these to reach and optimum farmer base of at least 100 who you will call on and integrate with them on a regular basis. You will liaise closely with the company traders and keep in close contact with seed cleaning operators and all industry players.§ §You should be an experienced Seed Company Representative / Agronomist with a proven track record and knowledge of both Vegetable and Field crops.§ §The successful applicant will have NZ citizenship and needs to be located within or close to the major seed production areas of the Canterbury Plains.§ §You will require a Full Drivers License and a good Knowledge of computer literacy.§ §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have experience in a sales role?§§§"
50525848,https://www.seek.co.nz/job/50525848,"Supervisor/ Tractor Operator Job in Tasman - SEEK","Agfirst Nelson Consultants Ltd","8 Sept 2020","Full Time","Tasman, Rest of Tasman",Farming,Horticulture,motueka@agfirst.co.nz,"  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50525848.txt	§Supervisor/ Tractor Operator§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Supervisor/ Tractor Operator§§Advertiser: §Agfirst Nelson Consultants Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Tasman§, §Rest of Tasman§§Work Type§§Full Time§§Classification§§Farming, Animals &amp; Conservation§, §Horticulture§§§§§§We are seeking a supervisor/tractor operator to join our team on a fulltime-permanent basis.§Our client is a longstanding producer of Kiwifruit in the Tasman region and is seeking an enthusiastic supervisor/ tractor operator to support their 21-hectare kiwifruit orchard situated in Takaka, New Zealand. §The ideal candidate will have a passion for growing and the outdoors, be able to think on their feet, have experience in supervising picking and pruning teams, and wishes to further their career in the South Island’s horticulture industry.§The key function of this role is to supervise staff during the critical times of the year as well as safely perform all tractor operations including spraying, fertiliser application, forklifting, mowing, mulching, sweeping, bin placement and removal.§The key interactions of this role will be with the orchard manager, permanent production staff, RSE’s, and casual contract workers.§The suitable candidate will:§Be a New Zealand citizen/ permanent resident or have an Open Work Visa.§Demonstrate physical fitness.§Hold a current NZ driver’s license.§Have reliable transport.§Have excellent written and verbal communication skills.§Show competency and experience in machinery operation.§Show experience in the supervision of seasonal horticultural staff.§Be able to work alongside a range of people from various walks of life.§Preferably have a growsafe certificate, however, this is not mandatory.§Preferably have a forklift license, however, this is not mandatory.§Be able to work unsupervised as well as a part of a team.§Be able to work extended hours and weekends when required.§Be willing to comply with health and safety policies.§Have a high standard of workmanship and pride in your work.§This is a fulltime permanent position that requires you to work outdoors and take part in all orchard operations, so being prepared to work in whatever weather Golden Bay throws at you is a plus.§Remuneration will be based on experience.§To apply for this role please send a CV, Cover letter, and references to §motueka@agfirst.co.nz§.§Applications close at 5 pm on the 24th of September 2020.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have a current New Zealand driver&#x27;s licence?§Do you own or have regular access to a car?§§§"
