jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50533621,https://www.seek.co.nz/job/50533621,"Lifeguards Job in Auckland - SEEK","Belgravia Health & Leisure Group","9 Sept 2020",Casual/Vacation,"Auckland, Papakura & Franklin","Sport & Recreation","Coaching & Instruction","","","","We are in an exciting period of growth, and look to continue to diversify and deliver results while being a strong community citizen.  With an annual turnover in excess of $180m, the group are looking for the best and brightest to assist with taking the organisation into the future.","TXT/50533621.txt	§Lifeguards§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Lifeguards§§Advertiser: §Belgravia Health &amp; Leisure Group§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Papakura &amp; Franklin§§Work Type§§Casual/Vacation§§Classification§§Sport &amp; Recreation§, §Coaching &amp; Instruction§§§§§§New Zealand, Franklin Pool &amp; Leisure - Pukekohe 2120§ §Jubilee Pool, Pukekohe Hill 2120§Whiteside Pool, Waiuku 2123§ §Great career paths and development with an entrepreneurial organisation§Free facility access §Enjoy a great work / life balance with mornings, evenings and weekend shifts  §Multiple Part time positions available § §This is a great opportunity for qualified lifeguards who value water safety, §love working with people, who want to keep the community safe in our facilities§.§ § §The Company§ §Belgravia Leisure§ is part of the Belgravia Health and Leisure Group (BHLG) and is the fastest growing leisure organisation in Australia. Our core areas of business and facilities stewardship include health clubs, wellness and spa, golf, aquatic and sporting venues in 150 locations across Australia and New Zealand. § §We are in an exciting period of growth, and look to continue to diversify and deliver results while being a strong community citizen.  With an annual turnover in excess of $180m, the group are looking for the best and brightest to assist with taking the organisation into the future.§ §The Role§ §We are currently looking for enthusiastic, reliable and friendly §lifeguards§ to join the team, over the §summer period§ of December 2020 to March/April 2021. Our lifeguards will be responsible for the Day to Day Pool Operations within our facility and ensure that all areas both in and surrounding our pools is a safe and enjoyable environment for all patrons.§ §You will have a passion for safety around the water. You should be energetic, dynamic, outgoing and fun. You will need outstanding communication skills and a commitment to customer service excellence to ensure our patrons safely enjoy their visit every time.§ §Successful applicants will demonstrate the ability to communicate and interact effectively with students that have a diverse range of ages, abilities, cultures and needs. §Must be a current PLPC and First Aid holder and be available to work weekends and be available on call if required.§ §Skills &amp; Attributes:§Excellent verbal communication skills§An understanding of OHS and public safety applications within your facility§Ability to work mornings, evenings and weekends§Ability to work effectively both independently and as a strong and valuable part of the team§Current First Aid (Level 2) &amp; Current CPR Certificate§National Police Check§Current Pool Lifeguard Certificate§Previous experience and success in a comparable role is not essential but highly regarded§Current Pool Operations Certificate is not essential but highly regarded§ § If you are a passionate person who realises the tremendous opportunity that this role offers and want to utilise your skills and passion in an aquatic and leisure environment, §we want to hear from you!§ §We are not asking for a resume from you. Simply complete the application process by clicking the Apply Now button and we’ll be in touch.§ §Pukekohe 2120 §§§§"
50534149,https://www.seek.co.nz/job/50534149,"BLACKCAPS Batting Coach (flexible location) Job in Canterbury - SEEK","New Zealand Cricket Inc.","9 Sept 2020","Full Time","Canterbury, Rest of Canterbury","Sport & Recreation","Coaching & Instruction","","   ( )","","Which of the following statements best describes your right to work in New Zealand?","TXT/50534149.txt	§BLACKCAPS Batting Coach (flexible location)§§More jobs from this company§§§§§§§§Job Description§§Job Header§§BLACKCAPS Batting Coach (flexible location)§§Advertiser: §New Zealand Cricket Inc.§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Canterbury§, §Rest of Canterbury§§Work Type§§Full Time§§Classification§§Sport &amp; Recreation§, §Coaching &amp; Instruction§§§§§§§§§  §    §    §      §BLACKCAPS Batting Coach (flexible location) §      §        §NZC is focused on ensuring that cricket is a game without barriers – a game that can be played anywhere, by anyone.  Whatever their individual circumstances, New Zealanders will be given every reason to celebrate and engage with cricket as their game.§        §We have a High Performance culture, underpinned by quality people, systems and facilities helping to produce winning BLACKCAPS and WHITE FERNS that inspire the nation and represent the best of New Zealand’s values and culture.   §        §We’re a passionate and enthusiastic team committed to living and breathing our purpose, connecting New Zealanders through our spirit of cricket.§        §We’re seeking expressions of interest for the position of BLACKCAPS Batting Coach, reporting to BLACKCAPS Head Coach. At its heart, this role is about continuing the development of a BLACKCAPS batting group to deliver consistently strong performances in all formats of the game. But there’s much more to it than that.§        §To thrive in this role, you will have:§        §          §Proven success as a high-performance coach§          §Flexibility to travel and train with the team as required§          §Focus on delivery and proven ability to organise and plan to succeed in the diverse environments in which the BLACKCAPS train and play§          §The ability to demonstrate leadership; articulating, imparting and creating a sense of ownership in the team and campaign vision§          §Understanding of and support for NZC’s vision of strategic alignment and consistency across the wider NZC high-performance family, particularly collaborating and coordinating with Major Association high-performance personnel§          §A holistic approach to the development of emerging and current BLACKCAPS as great people as well as players§        §        §You know what it takes to succeed in a high-performance environment. You have the ability to maintain focus, control and relationships under extreme pressure and to work effectively in a collaborative team setting.§        §With massive enthusiasm for this role, you will operate ethically and with integrity, role modelling a growth-mindset, embracing the need to learn, adapt and change.§        §Actively contributing to a team culture that promotes unity, you will have an unwavering and positive drive and commitment to performance on and off the field, while continuing to develop the BLACKCAPS’ playing style and objectives.§        §To join us, you’ll share our passion, focus and determination to make cricket a game for all New Zealanders; a game for life.  §        §Interested?  We want to hear from you.  Apply through Seek today, including a cover letter explaining your interest in the role. §        § §        § §      §      §      §    §  §§§NZC is focused on ensuring that cricket is a game without barriers – a game that can be played anywhere, by anyone.  Whatever their individual circumstances, New Zealanders will be given every reason to celebrate and engage with cricket as their game.§  §We have a High Performance culture, underpinned by quality people, systems and facilities helping to produce winning BLACKCAPS and WHITE FERNS that inspire the nation and represent the best of New Zealand’s values and culture.   §  §We’re a passionate and enthusiastic team committed to living and breathing our purpose, connecting New Zealanders through our spirit of cricket.§  §We’re seeking expressions of interest for the position of BLACKCAPS Batting Coach, reporting to BLACKCAPS Head Coach. At its heart, this role is about continuing the development of a BLACKCAPS batting group to deliver consistently strong performances in all formats of the game. But there’s much more to it than that.§  §To thrive in this role, you will have:§ § §Proven success as a high-performance coach§ §Flexibility to travel and train with the team as required§ §Focus on delivery and proven ability to organise and plan to succeed in the diverse environments in which the BLACKCAPS train and play§ §The ability to demonstrate leadership; articulating, imparting and creating a sense of ownership in the team and campaign vision§ §Understanding of and support for NZC’s vision of strategic alignment and consistency across the wider NZC high-performance family, particularly collaborating and coordinating with Major Association high-performance personnel§ §A holistic approach to the development of emerging and current BLACKCAPS as great people as well as players§ §You know what it takes to succeed in a high-performance environment. You have the ability to maintain focus, control and relationships under extreme pressure and to work effectively in a collaborative team setting.§  §With massive enthusiasm for this role, you will operate ethically and with integrity, role modelling a growth-mindset, embracing the need to learn, adapt and change.§  §Actively contributing to a team culture that promotes unity, you will have an unwavering and positive drive and commitment to performance on and off the field, while continuing to develop the BLACKCAPS’ playing style and objectives.§  §To join us, you’ll share our passion, focus and determination to make cricket a game for all New Zealanders; a game for life.  §  §Interested?  We want to hear from you.  Apply through Seek today, including a cover letter explaining your interest in the role. §  § §  § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have a current New Zealand driver&#x27;s licence?§§§"
50535220,https://www.seek.co.nz/job/50535220,"Sport Development Officer Job in Otago - SEEK","Otago Cricket Association Inc","9 Sept 2020","Full Time","Otago, Rest of Otago","Sport & Recreation","Coaching & Instruction","","  ","Empathetic towards the needs of young people 5 – 18 years","Which of the following statements best describes your right to work in New Zealand?","TXT/50535220.txt	§Sport Development Officer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Sport Development Officer§§Advertiser: §Otago Cricket Association Inc§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Otago§, §Rest of Otago§§Work Type§§Full Time§§Classification§§Sport &amp; Recreation§, §Coaching &amp; Instruction§§§§§§Exciting Sports Development Opportunity§  §North Otago / South Canterbury §  §Otago Cricket and Football South are teaming up to offer an exciting new sport development role, offering seasonal variety across the two codes. The Sport Development Officer is a full-time role (45 hours per week) on a two-year contract, based in Oamaru. The role is tasked with leading the delivery of cricket participation programmes in the North Otago district, and for football in both Waitaki and Timaru.§  §The role is looking for an enthusiastic and innovative approach to growing and sustaining participation. The focus areas will be delivering participation programmes and events, building positive relationships with schools and clubs and facilitating coach development. §  §To be successful in the role you will be:§ § §An effective communicator§ §Well planned with good time management skills, focused, IT and social media literate.§ §Passionate about for sport and to grow community participation§ §Innovative in your approach§ §Customer service focused and can build and maintain positive relationships with stakeholders including clubs and school§ §Empathetic towards the needs of young people 5 – 18 years§ §Results driven§ §Absolutely a team player§ §Able to demonstrate excellent presentation skills§ §Applicants must have the right to work in New Zealand§  §For further detail including the job description and how to apply, please visit www.otagocricket.co.nz/about/situationsvacant/§  §Applications close 5pm, Sun 20th September 2020. We may start considering and interviewing candidates as their applications are received and encourage candidates to apply early.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have a current New Zealand driver&#x27;s licence?§Are you willing to relocate for this role?§§§"
50535848,https://www.seek.co.nz/job/50535848,"Personal Trainer - Small group Trainer Job in Auckland - SEEK","Bodi Limited","9 Sept 2020",Contract/Temp,"Auckland, Auckland Central","Sport & Recreation","Fitness & Personal Training","","     ","How many years","","TXT/50535848.txt	§Personal Trainer - Small group Trainer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Personal Trainer - Small group Trainer§§Advertiser: §Bodi Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Auckland Central§§Salary§§$35 - $49.99 per hour§§Work Type§§Contract/Temp§§Classification§§Sport &amp; Recreation§, §Fitness &amp; Personal Training§§§§§§ABOUT THE BUSINESS &gt;&gt;&gt;§ § § § § § §10 years in the personal training business.§ § §Boutique Studio in Greenlane.§ § §access to 2000 corporate clients. § § § § §About the role &gt;&gt;&gt;§ § § §You will have a selection of clients who you will be looking after.§ §You will manage your own time and using our booking system. § §We have a tier system on your rates based on performance.§ § § § § § § §Benefits and perks &gt;&gt;&gt;§ § § §Heaps of opportunities to grow if with our unique position demographic§ § § §Skills and experience§ § § § §Certificate 3 or 4 in Fitness § § §Excellent customer service/time management and organization skills.§ § §A willingness to continue learning and upskilling.§ § § §§§§The application form will include these questions:§§How many years&#x27; experience do you have as a personal trainer?§Do you own or have regular access to a car?§How many years&#x27; experience do you have as a fitness instructor?§Have you completed a qualification in fitness?§§§"
50535976,https://www.seek.co.nz/job/50535976,"Outdoor Instructor- Kahunui Campus  Job in Bay of Plenty - SEEK","St Cuthbert&#x27;s College","9 Sept 2020",Casual/Vacation,"Bay of Plenty, Rest of Bay of Plenty","Sport & Recreation","Coaching & Instruction","","    ","","","TXT/50535976.txt	§Outdoor Instructor- Kahunui Campus §§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Outdoor Instructor- Kahunui Campus §§Advertiser: §St Cuthbert&#x27;s College§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Bay of Plenty§, §Rest of Bay of Plenty§§Work Type§§Casual/Vacation§§Classification§§Sport &amp; Recreation§, §Coaching &amp; Instruction§§§§§§- Casual  §- Whakatane - Bay of Plenty §Creating Remarkable Futures. Making girls amazing – the Kahunui difference.§Be part of an amazing experience! §Kahunui is our remote campus, based in the beautiful Eastern Bay of Plenty and provides a unique experience for our students. Kahunui gives our girls opportunities to develop and grow through our outdoor and social living programme with a focus on sustainability. We are looking for qualified, energetic and enthusiastic Outdoor Instructors for our program at Kahunui.§As part of the small, dedicated team you will work together in all areas of the program from preparing students for outdoor excursions, gear maintenance, and checks, outdoor education including tramping, sea kayaking and overnight camps to house tutor duties and supervision respectabilities on some morning and nights during each intake. The successful candidate will be passionate about facilitating transformative outdoor experiences for students. §To be successful in this role, it is essential you have relevant experience and the proven ability to mentor and guide young adolescence a full New Zealand driver’s license or a valid overseas license and be flexible around work hours and patterns. Accommodation is provided onsite, year-round. This is an exciting opportunity to showcase your skillsets, build and nurture positive working relationships and be part of a fantastic journey.§Applications close on 9 October 2020§§§§"
50539227,https://www.seek.co.nz/job/50539227,"Rugby Coach Job in Waikato - SEEK","Waihou Rugby Club","9 Sept 2020","Part Time","Waikato, Rest of Waikato","Sport & Recreation","Coaching & Instruction",waihourfsc@gmail.com," 027 314 1622","How many years","","TXT/50539227.txt	§Rugby Coach§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Rugby Coach§§Advertiser: §Waihou Rugby Club§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Waikato§, §Rest of Waikato§§Work Type§§Part Time§§Classification§§Sport &amp; Recreation§, §Coaching &amp; Instruction§§§§§§ §Coaches for the 2021 season §The Waihou Rugby and Sports Club is calling for applications from suitably qualified persons for the following positions for the 2021 rugby season:§Head Coach : Waihou Senior A§Head Coach : Waihou Senior B§The Waihou Rugby club is a well established club with teams competing in both the top tier and Senior B grades of the Thames Valley rugby competitions.The club enjoys a strong presence in the local community and seeks to appoint personnel who strive for success and are committed to coaching their teams to do the same.§All interested persons are encouraged to submit applications to §waihourfsc@gmail.com§Please specify which role you are applying for, along with a cover letter and C.V.§Any queries should be directed to Wayne on 027 314 1622. §§§§The application form will include these questions:§§How many years&#x27; experience do you have in the sports &amp; fitness industry?§§§"
50540385,https://www.seek.co.nz/job/50540385,"Jetts NZ - Club Assistant Porirua Job in Wellington - SEEK","Jetts Fitness","9 Sept 2020","Part Time","Wellington, Porirua & Kapiti Coast","Sport & Recreation",Management,"","     ",""," right to live and work ","TXT/50540385.txt	§Jetts NZ - Club Assistant Porirua§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Jetts NZ - Club Assistant Porirua§§Advertiser: §Jetts Fitness§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Wellington§, §Porirua &amp; Kapiti Coast§§Work Type§§Part Time§§Classification§§Sport &amp; Recreation§, §Management§§§§§§§§§  §    §      §Jetts NZ - Club Assistant Porirua §    §    §      §        § Are you looking for a role in a growing industry? Are you a passionate person who loves to help others reach their goals? Are you ready to step into a fantastic role which allows personal and professional growth?§        §Jetts NZ are looking for a part time Club Assistant (4 hours per week) who is energetic, positive, but most importantly love to help people achieve their health and exercise goals while creating and maintaining a friendly and welcoming club culture. With 54 clubs nationwide you will be joining a dynamic member centric and hardworking culture with Jetts NZ!§        §Job Responsibilities: §        §          §            §Achieving the daily minimum sales performance criteria.§          §          §            §Supporting achievement of the club’s monthly new member sales and growth targets;§          §          §            §Promoting and selling all Jetts products, services and allied partnerships, including but not limited to memberships, personal training courses and digital programs;§          §          §            §Performing regular in-club operations tasks including but not limited to cleaning and customer service§          §        §        §          §            §Demonstrating a friendly and positive attitude at all times, particularly when serving members and guests in a professional manner;§          §          §            §Referring member feedback to the Customer Service Center§          §        §        §Essentials:§        §•Basic computer skills a must.§•All applicants must hold a current Level 2 First Aid Certificate and a minimum of  Level 4 in Fitness Qualification§*Flexibility and availability to work casual hours, busy holiday periods and assist with leave coverage in the gyms§        §Jetts NZ will also provide you with full training and ongoing support. Apply now to become part of our team!. Immediate start required§      §      §      §    §    §  §§§ Are you looking for a role in a growing industry? Are you a passionate person who loves to help others reach their goals? Are you ready to step into a fantastic role which allows personal and professional growth?§  §Jetts NZ are looking for a part time Club Assistant (4 hours per week) who is energetic, positive, but most importantly love to help people achieve their health and exercise goals while creating and maintaining a friendly and welcoming club culture. With 54 clubs nationwide you will be joining a dynamic member centric and hardworking culture with Jetts NZ!§  §Job Responsibilities: § § § §Achieving the daily minimum sales performance criteria.§  § § §Supporting achievement of the club’s monthly new member sales and growth targets;§  § § §Promoting and selling all Jetts products, services and allied partnerships, including but not limited to memberships, personal training courses and digital programs;§  § § §Performing regular in-club operations tasks including but not limited to cleaning and customer service§  § § §Demonstrating a friendly and positive attitude at all times, particularly when serving members and guests in a professional manner;§  § § §Referring member feedback to the Customer Service Center§  § §Essentials:§  §•Basic computer skills a must.§•All applicants must hold a current Level 2 First Aid Certificate and a minimum of  Level 4 in Fitness Qualification§*Flexibility and availability to work casual hours, busy holiday periods and assist with leave coverage in the gyms§  §Jetts NZ will also provide you with full training and ongoing support. Apply now to become part of our team!. Immediate start required§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Which of the following First Aid accreditations do you currently hold?§Do you have customer service experience?§Do you have experience in a sales role?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50540457,https://www.seek.co.nz/job/50540457,"Jetts NZ - Club Assistant - Wanganui Job in Manawatu - SEEK","Jetts Fitness","9 Sept 2020",Casual/Vacation,"Manawatu, Wanganui","Sport & Recreation",Management,"","      ",""," right to live and work ","TXT/50540457.txt	§Jetts NZ - Club Assistant - Wanganui§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Jetts NZ - Club Assistant - Wanganui§§Advertiser: §Jetts Fitness§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Manawatu§, §Wanganui§§Work Type§§Casual/Vacation§§Classification§§Sport &amp; Recreation§, §Management§§§§§§§§§  §    §      §Jetts NZ - Club Assistant - Wanganui §    §    §      §        § Are you looking for a role in a growing industry? Are you a passionate person who loves to help others reach their goals? Are you ready to step into a fantastic role which allows personal and professional growth?§        §Jetts NZ are looking for Casual - Club Assistants who are energetic, positive, but most importantly love to help people achieve their health and exercise goals while creating and maintaining a friendly and welcoming club culture. With 54 clubs nationwide you will be joining a dynamic member centric and hardworking culture with Jetts NZ!§        §Job Responsibilities: §        §          §            §Achieving the daily minimum sales performance criteria.§          §          §            §Supporting achievement of the club’s monthly new member sales and growth targets;§          §          §            §Promoting and selling all Jetts products, services and allied partnerships, including but not limited to memberships, personal training courses and digital programs;§          §          §            §Performing regular in-club operations tasks including but not limited to cleaning and customer service§          §        §        §          §            §Demonstrating a friendly and positive attitude at all times, particularly when serving members and guests in a professional manner;§          §          §            §Referring member feedback to the Customer Service Center§          §        §        §Essentials:§        §All applicants must hold a current Level 2 First Aid Certificate§        §•Basic computer skills a must.§*Flexibility and availability to work casual hours, busy holiday periods and assist with leave coverage in the gyms§        §Jetts NZ will also provide you with full training and ongoing support. Apply now to become part of our team!. Immediate start required§      §      §      §    §    §  §§§ Are you looking for a role in a growing industry? Are you a passionate person who loves to help others reach their goals? Are you ready to step into a fantastic role which allows personal and professional growth?§ §Jetts NZ are looking for Casual - Club Assistants who are energetic, positive, but most importantly love to help people achieve their health and exercise goals while creating and maintaining a friendly and welcoming club culture. With 54 clubs nationwide you will be joining a dynamic member centric and hardworking culture with Jetts NZ!§ §Job Responsibilities: § § § §Achieving the daily minimum sales performance criteria.§ § § §Supporting achievement of the club’s monthly new member sales and growth targets;§ § § §Promoting and selling all Jetts products, services and allied partnerships, including but not limited to memberships, personal training courses and digital programs;§ § § §Performing regular in-club operations tasks including but not limited to cleaning and customer service§ § § §Demonstrating a friendly and positive attitude at all times, particularly when serving members and guests in a professional manner;§ § § §Referring member feedback to the Customer Service Center§ § §Essentials:§ §All applicants must hold a current Level 2 First Aid Certificate§ §•Basic computer skills a must.§*Flexibility and availability to work casual hours, busy holiday periods and assist with leave coverage in the gyms§ §Jetts NZ will also provide you with full training and ongoing support. Apply now to become part of our team!. Immediate start required§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Which of the following First Aid accreditations do you currently hold?§Do you have customer service experience?§Do you have experience in a sales role?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50540580,https://www.seek.co.nz/job/50540580,"Gymnastics Head Coach Job in Auckland - SEEK","Waitakere Gymnastics","9 Sept 2020","Full Time","Auckland, Waitakere & West Auckland","Sport & Recreation","Coaching & Instruction","","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50540580.txt	§Gymnastics Head Coach§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Gymnastics Head Coach§§Advertiser: §Waitakere Gymnastics§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Waitakere &amp; West Auckland§§Work Type§§Full Time§§Classification§§Sport &amp; Recreation§, §Coaching &amp; Instruction§§§§§§About the business§ § § §Waitakere Gymnastics Club is a well-established mid-sized club located in New Lynn, Auckland.  We cater for gymnasts from preschoolers to National Representatives.§ § § §About the role§ § § §You will be responsible for the planning and administration of the Competitive and Recreational Program, this would include collating annual plans, organizing program activities and developing the training timetable.§ §The successful applicant would work directly with the competitive squad and all coaches to provide both gymnasts and coaches with opportunities to develop and achieve to their full potential.§ §The successful applicant will also help mentor our existing coaches to further develop their skills and help achieve their goals.§ § § §Benefits and perks§ § § §This is a varied role with plenty of opportunity to grow your knowledge. We cater to a wide range of gymnasts, there is lots to focus on.  This is a great opportunity to learn all aspects of running a gymnastics club.§ §We offer a fully funded coach education program and support the continual growth of our coaches.  § §We are close to LynnMall Shopping Centre, the train and bus station is an easy walk. § § § §Skills and experience§ § § §A minimum of Senior Gymnastic NZ or Fédération Internationale de Gymnastique (FIG) qualification is required.§ §Previous coaching experience with Male and Female Artistic Gymnastics competition squads essential. § §Strong leadership skills are important. § §A good knowledge of gymnastics is essential, from fundamental movement through to competitive techniques.§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Which of the following First Aid accreditations do you currently hold?§How many years of people management experience do you have?§How many years&#x27; experience do you have in the sports &amp; fitness industry?§§§"
50541864,https://www.seek.co.nz/job/50541864,"Central Region Relationship Manager Job in Wellington - SEEK","Gymnastics New Zealand","10 Sept 2020",Contract/Temp,"Wellington, Hutt Valley","Sport & Recreation",Other,belinda.randall@gymnasticsnz.com,"   ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50541864.txt	§Central Region Relationship Manager§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Central Region Relationship Manager§§Advertiser: §Gymnastics New Zealand§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Wellington§, §Hutt Valley§§Work Type§§Contract/Temp§§Classification§§Sport &amp; Recreation§, §Other§§§§§§MATERNITY COVER§ §Gymnastics New Zealand is the recognised National Sports Organisation responsible for the development, promotion and governance of Rhythmic and Artistic Gymnastics, Aerobics, Trampoline, Tumbling and Gym for All.   We are a forward thinking, dynamic organisation who value hard work and fun in equal measures.§ §We are seeking to fill a Relationship Manager position in the Central Region for a 12-month period.  The role would ideally suit individuals with knowledge and experience in sport development and/or sport management and who are already established in the sport sector.§ §The core purpose of the Relationship Manager role is:§ § §To provide sport development and capability support for the gymnastic sport clubs in the Central Region.§ §To identify opportunities and implement effective strategies to increase participation in gymnastic sports, and establish and maintain diverse and sustainable relationships.§ §Some important attributes to fulfil this role would be:§ § §The ability to effectively manage relationships with a customer-centric mindset.§ §A strong communicator.§ §Have strong research and writing capability.§ §Good project management skills and the ability to manage multiple tasks and deadlines.§ §A positive demeanour and a solution based attitude to challenging situations.§ §Based in Wellington, this role covers the central region (Hawkes Bay/Poverty Bay, Whanganui/Manawatu and Nelson/Blenheim). Periodic travel is required however, much of the engagement with clubs and partners is done remotely.§ §This role provides exciting opportunities to develop and lead on projects both within the region and at National level and will suit someone who is self-motivated, proactive and passionate about sport.§ §Please see the attached Job Description for further details regarding this role.§ §If you are interested, we would love to hear from you. Please forward a full CV and covering letter to Belinda Randall §belinda.randall@gymnasticsnz.com§ § §Job Description can be found here - https://www.gymnasticsnz.com/wp-content/uploads/2020/09/Central-RM-Job-vacancy.pdf § §Applications close on Monday 5th October 2020 at 9.00am. Interviews will take place week beginning 12th October.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have customer service experience?§Do you have experience working towards targets and KPIs?§Which of the following Microsoft Office products are you experienced with?§§§"
