jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50144203,https://www.seek.co.nz/job/50144203,"Patent and Trademark Assistants Job in Wellington - SEEK","Forté Recruitment Ltd","22 Sept 2020","Full Time","Wellington, Wellington Central",Legal,"Intellectual Property Law","","   ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50144203.txt	§Patent and Trademark Assistants§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Patent and Trademark Assistants§§Advertiser: §Forté Recruitment Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§22 Sept 2020§§Location§§Wellington§, §Wellington Central§§Salary§§$50,000 - $60,000§§Work Type§§Full Time§§Classification§§Legal§, §Intellectual Property Law§§§§§§§§§  §    §    §      §Patent and Trademark Assistants §      §        §Due to ongoing growth of the business, my client is continually seeking experienced Trademark and Patent Assistants to join their Wellington based team. You will work amongst a team of professionals supporting Senior Managers.§        §They are a specialist firm, who require experience within Intellectual Property Law, an exceptional eye for detail and a proactive approach. You will need to manage workflow, ensure deadlines are met and be confident to take on any support tasks required of you.§        §Expect to undertake the following:§        §          §Conduct searches§          §Type documents and correspondence§          §Downloading of documents§          §Prepare client invoices§          §Load and update client files§          §Arrange meetings and client visits§          §Manage diaries (ensure deadlines are visible and being met)§          §Liaise with clients on behalf of the senior professional§          §Any other duties required by the team§        §        §In order to be considered for this role we are looking for:§        §          §Working within Legal Services is a must§          §Patent and Trademark experience required§          §Strong technical skills – accurate and fast keyboard skills will be tested§          §Attention to detail§          §Strong and clear written and verbal communication skills§          §Excellent grammar and proofreading skills§        §        §We are keen to hear from you if you offer relevant skills and will only be contacting people who are experienced in Patent, Trademark and IP Law.§        §Please note: only applicants with the legal right to work in New Zealand will be considered for this role.§ §        §Due to the volume of interest in our vacancies, we appreciate your patience while we work through all applications. We will be back in touch as soon as possible. §        §Apply attaching your CV with a covering letter outlining your availability and experience, using the reference SAM4507 If you have any questions regarding this role call Sam on §(04) 901 6444§.§      §      §      §      §Permanent Recruitment | Temporary Placements §        § www.forterecruitment.co.nz§      §    §  §§§Due to ongoing growth of the business, my client is continually seeking experienced Trademark and Patent Assistants to join their Wellington based team. You will work amongst a team of professionals supporting Senior Managers.§ §They are a specialist firm, who require experience within Intellectual Property Law, an exceptional eye for detail and a proactive approach. You will need to manage workflow, ensure deadlines are met and be confident to take on any support tasks required of you.§ §Expect to undertake the following:§ § §Conduct searches§ §Type documents and correspondence§ §Downloading of documents§ §Prepare client invoices§ §Load and update client files§ §Arrange meetings and client visits§ §Manage diaries (ensure deadlines are visible and being met)§ §Liaise with clients on behalf of the senior professional§ §Any other duties required by the team§ §In order to be considered for this role we are looking for:§ § §Working within Legal Services is a must§ §Patent and Trademark experience required§ §Strong technical skills – accurate and fast keyboard skills will be tested§ §Attention to detail§ §Strong and clear written and verbal communication skills§ §Excellent grammar and proofreading skills§ §We are keen to hear from you if you offer relevant skills and will only be contacting people who are experienced in Patent, Trademark and IP Law.§ §Please note: only applicants with the legal right to work in New Zealand will be considered for this role.§ § §Due to the volume of interest in our vacancies, we appreciate your patience while we work through all applications. We will be back in touch as soon as possible. § §Apply attaching your CV with a covering letter outlining your availability and experience, using the reference SAM4507 If you have any questions regarding this role call Sam on §(04) 901 6444§.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50532175,https://www.seek.co.nz/job/50532175,"Property & Private Client Lawyer Job in Wellington - SEEK","Cobalt Consulting NZ Limited","8 Sept 2020","Full Time",Wellington,Legal,"Property Law",hdeiongh@cobaltrecruitment.com," 027 274 5926","3-6 years"," right to live and work ","TXT/50532175.txt	§Property &amp; Private Client Lawyer§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Property &amp; Private Client Lawyer§§Advertiser: §Cobalt Consulting NZ Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Wellington§§Work Type§§Full Time§§Classification§§Legal§, §Property Law§§§§§§If you would like to work closely with a well-regarded partner​ as their right-hand person and be mentored in various property matters then this could be a fantastic role to consider.§ §Based in Lower Hutt, our client is a medium-sized law firm managed by partners who are experts in their fields. Due to consistent workloads, the property team is looking for an Intermediate Property &amp; Private Client Solicitor to join the practice ​and be involved in broader private client work. You will be exposed to a variety of matters including conveyancing, subdivisions, developments, commercial leasing, asset protection, trust formation, managing estates, drafting wills and EPOAs. You will get client contact from day one and have the ability to run with your own files independently but will have plenty of support provided by a partner with a modern approach.§ §The ideal candidate will have:§ §3-6 years PQE within a private practice environment§Experience with property transactions and trusts advice work§Good communication skills§Can work in a close-knit team environment but also operate with some autonomy.§ §If you live in Lower Hutt or surrounds then this is an excellent opportunity to make the move to a practice that is closer to home.§ §If you are interested in this role, ​click APPLY ​​or send your CV and academic transcript to §hdeiongh@cobaltrecruitment.com§. For a confidential discussion about how your skills and experience align with this position, call Harrison on 027 274 5926.§ §Thinking of relocating? Cobalt Recruitment has opportunities all across New Zealand, so if you are looking to move to another region or return from overseas, Cobalt is perfectly positioned to help you with your transition.§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50532307,https://www.seek.co.nz/job/50532307,"Senior Litigation Lawyer - Class Action / Construction Job in Auckland - SEEK","Adina Thorn Lawyers","8 Sept 2020","Full Time","Auckland, Auckland Central",Legal,"Litigation & Dispute Resolution",caroline@adinathorn.co.nz," 021 654 442","At least 7 years","Applicants must have NZ residency (or valid NZ work permit) and hold a current Practising Certificate.","TXT/50532307.txt	§Senior Litigation Lawyer - Class Action / Construction§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Senior Litigation Lawyer - Class Action / Construction§§Advertiser: §Adina Thorn Lawyers§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Legal§, §Litigation &amp; Dispute Resolution§§§§§§ §Run your own matters§ §Work / life balance friendly § §Top remuneration package§ §Our business is expanding.  New diverse commercial role – this is a terrific opportunity to join a leading litigation practice where you can gain experience working on significant litigation files.   §  §Progress your career quickly in high-profile varied construction and property litigation. The role offers cutting-edge work with a collegial team, and attractive remuneration.§  §Ideally, you will have solid experience running complex construction litigation matters, including trial experience.  We will also consider candidates with general commercial litigation experience who have a real passion for the construction space.  We will ensure you find the work interesting, rewarding and challenging.§  §Adina Thorn Lawyers is an industry leading specialist disputes resolution practice, known for our work in construction disputes, leaky building litigation and large ground-breaking class actions.§  §Role overview§ § §Major class action litigation – your chance to make a real difference§ §Client contact and run your own matters§ §Drafting, advising, pleadings and submissions§ §Attendance at mediation and Court hearings§ §Strong firm support and professional growth§ §Skills and experience§ § §At least 7 years’ experience in civil or commercial litigation.  Construction / building law experience preferred but not essential.§ §A proactive positive and energetic approach with a commitment to provide excellent client-focused service.§ §Solid business acumen and ability to articulate and negotiate effectively.§ §Superior drafting ability.§ §Able to work independently§ §Excellent communication skills, both written and verbal.§ §More about us§  §Our clients range from large construction companies, to body corporates, to home owners. We have specialist expertise across a broad range of areas including property litigation, valuation disputes, land compensation claims and advisory work for body corporates.§  §To apply:§  §If you would like to discuss the role in confidence, please call Adina Thorn on 021 654 442.§  §Or apply online through the link attached.§  §Alternatively, you can also e-mail your CV and cover letter to §caroline@adinathorn.co.nz§  § §  §Applicants must have NZ residency (or valid NZ work permit) and hold a current Practising Certificate.§  §www.adinathorn.co.nz§§§§"
50532564,https://www.seek.co.nz/job/50532564,"Lawyer Job in Bay of Plenty - SEEK","CG Law Limited","8 Sept 2020","Full Time","Bay of Plenty, Tauranga",Legal,"Generalists - Law Firm",jenni@cglaw.nz,"","A lawyer with a minimum of 5 years"," right to live and work ","TXT/50532564.txt	§Lawyer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Lawyer§§Advertiser: §CG Law Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Bay of Plenty§, §Tauranga§§Work Type§§Full Time§§Classification§§Legal§, §Generalists - Law Firm§§§§§§GENERAL LAWYER§  §A lawyer with a minimum of 5 years PQE is required for a well-established practice with a strong property focus in Mount Maunganui.§  §This role comes with an established client base within a very supportive professional environment.   The ideal candidate will need to be a team player, enjoy a role that is flexible and diverse.§  §The work will be a varied mix of general practice work including property, commercial, estates, trusts and wills with the opportunity for developing areas of a particular interest or utilising an existing speciality.§  §If you are highly motivated with a proactive approach to work, unflappable under pressure and enjoy working in a demanding, fast paced but fun work environment then this is the role for you.§  §Key Requirements:§ § §Experience in all areas of general practice§ §5+ PQE (admission to the bar in New Zealand)§ §Ability to draft documents§ §Excellent organisational and time management skills§ §Ability to work autonomously and prioritise conflicting demand§ §High standard of client service§ §Proficient experience with Microsoft Office and Landonline§ §AML/CFT compliance experience§ §Electronic document management§ §Be well presented and reliable§ §This is a full-time position (flexible for the right candidate) with room for personal development and growth.  We offer modern offices and a competitive remuneration.§  §If you seek a new position in 2020 in the sunny Bay of Plenty, have the skills we require, we would like to hear from you.§  §Applicants for this position should have New Zealand residency or a valid New Zealand work visa.§  §Applications will be treated in confidence and interviewed by appointment only.§  §Interested applicants should apply with resume, academic transcript, references and covering letter to:§Jenni Collins§Practice Manager§CG Law Limited§Email to §jenni@cglaw.nz§  § §  § §§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50532683,https://www.seek.co.nz/job/50532683,"Receptionist/Legal Assistant - part time Job in Waikato - SEEK","Lime Limited","8 Sept 2020","Part Time","Waikato, Rest of Waikato",Legal,"Legal Secretaries","","    ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50532683.txt	§Receptionist/Legal Assistant - part time§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Receptionist/Legal Assistant - part time§§Advertiser: §Lime Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Waikato§, §Rest of Waikato§§Work Type§§Part Time§§Classification§§Legal§, §Legal Secretaries§§§§§§Woohoo - the Cooney Lees Morgan Matamata office is expanding so we are looking for a superstar to fill this newly created role.  It’s an important role as you’ll not only be the face of our Matamata office and provide legal assistant support to the team but will also be responsible for making the office run like a well-oiled machine.  We love being part of the Matamata community, so you’ll also be someone who wants to help us grow the business and relationships with new and existing clients. §  §This is a part-time role from 9-3pm five days a week with flexibility needed to go ‘the extra mile’ if required.§  §To hit the ground running you must have the following skills and experience:§ § §Excellent customer service skills§ §Administration experience§ §A minimum of two years legal secretarial experience in property/conveyancing is preferable§ §Confident LINZ and Companies Office user§ §Word and Outlook experience§ §Touch typist§ §Attention to detail§ §Extremely well organised§ §Excellent communicator§ §Good at prioritising§ §Work well under pressure§ §Willingness to learn§ §Enjoy working as part of a team§ §Confident working for several different authors and juggling their individual needs§ §Knowledge of Winscribe Digital Dictation and Infinity Law Trust Account Software would be advantageous.§ §In return we offer:§ § §A friendly and inclusive work environment§ §Modern technology§ §Excellent in-house training§ §Career development opportunities§ §If you are looking for an opportunity to develop your career at a long standing, well respected law firm that values its staff we want to hear from you.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a legal assistant?§Do you have experience in an administration role?§§§"
50533750,https://www.seek.co.nz/job/50533750,"Senior Legal Executive Job in Waikato - SEEK","Le Pine & Co","9 Sept 2020","Full Time","Waikato, Taupo",Legal,"Law Clerks & Paralegals",manager@lepine.co.nz,"  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50533750.txt	§Senior Legal Executive§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Senior Legal Executive§§Advertiser: §Le Pine &amp; Co§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Waikato§, §Taupo§§Work Type§§Full Time§§Classification§§Legal§, §Law Clerks &amp; Paralegals§§§§§§About Us§ §Le Pine &amp; Co are a well-known provincial law firm with offices in Turangi and Putaruru.  We offer a wide range of legal services to our clients both in the Waikato region and elsewhere. We are about providing practical solutions to clients, solutions that work for them.  We support and contribute to the community as best we can.  We want to make a difference.§ §Due to increase in workloads, and impending resignation of one of our most experienced Legal Executives, we are now looking for our next superstar. The successful applicant will be expected to split their time between Taupo and Turangi. § §What we need from you§ § §A senior Legal Executive with solid demonstrable experience in: § §Conveyancing (Residential)§ §Subdivisions§ §Wills &amp; Estates§ §Trusts§ § § §Experience in Commercial Conveyancing desirable but not essential.§ § §Work autonomously and  hit the ground running § §Excellent client management skills§ §Highly motivated and proactive§ §Well organised with good time management§ §Confidence in dealing with clients and colleagues§ §Produces work to a high standard§ §A good sense of humour§ §Our expectations are that you will be a superstar performer that can contribute to the firm’s ongoing growth and success. We work as a team, and for us our success is based on the team success.§ §What we will give you:§ § §Access to Partners and senior solicitors  - the firm has an open door policy§ §NZILE – membership § §Morning tea on your first day§ §Professional and collegiate working environment§ §On-going access to training and education via webinars and conferences§ §Did we mention Morning Tea?§ §A salary commensurate with experience.§ §Please submit all applications via Seek or email to §manager@lepine.co.nz§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have in property law?§Which of the following legal practice management software do you have experience with?§What&#x27;s your expected annual base salary?§Do you have a current New Zealand driver&#x27;s licence?§§§"
50534616,https://www.seek.co.nz/job/50534616,"Commercial / Resource Management Solicitor Job in Canterbury - SEEK","Duncan Cotterill","9 Sept 2020","Full Time","Canterbury, Christchurch",Legal,"Corporate & Commercial Law",careers@duncancotterill.com,"    ","We're looking for a talented and experienced solicitor with 2 - 4 years","","TXT/50534616.txt	§Commercial / Resource Management Solicitor§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Commercial / Resource Management Solicitor§§Advertiser: §Duncan Cotterill§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Canterbury§, §Christchurch§§Work Type§§Full Time§§Classification§§Legal§, §Corporate &amp; Commercial Law§§§§§§§§§  §    §    §Commercial / Resource Management Solicitor §    §      §        §Duncan Cotterill has four offices in four distinct markets underpinned by an energetic, diverse and collegial partnership.§        §We put a lot of time and thought into making Duncan Cotterill a great firm to work for - a firm where you enjoy work, you are challenged, and you achieve.§        §Our Resource Management team deal with a range from work from rural based clients through to commercially based transactions. Our clients are successful, ambitious and driven. They think hard about what they're doing, and they expect us to do the same on their behalf.§        §We're looking for a talented and experienced solicitor with 2 - 4 years with commercial experience. Sitting within our resource management team, this role has the unique benefit of having a dual focus, supporting clients on both commercial and resource management matters.§        §The right candidate will have a strong commercial awareness, great technical skills and some expertise in the field, along with a self-starting initiative and a natural interest in supporting agri and rural based resource management work.§        §We want someone who:§        §          §is capable, but just as importantly, will be proactive§          §has a natural commercial awareness and aptitude§          §has previous experience which includes commercial, property, trust and agri skills.§        §        §In return we can offer a number of opportunities to:§        §          §work closely with our partners who work with an accessible, open door policy§          §receive multiple levels of support from peers, colleagues, partners and professionals§          §deal with interesting work and a wide range of different clients§          §access ongoing training and development§          §be immersed in our fantastic culture, something that we're very proud of§          §be exposed to great professional support networks§        §        §With stunning modern offices just a short walk from Hagley Park, working alongside a talented team of lawyers - this is the perfect opportunity to advance your career in a supportive environment.§        §To apply please email your CV, cover letter and academic transcript to §careers@duncancotterill.com§§      §    §    §To Apply§To apply please email your CV, cover letter and academic transcript to §careers@duncancotterill.com§ §    §careers.duncancotterill.com§  §§§Duncan Cotterill has four offices in four distinct markets underpinned by an energetic, diverse and collegial partnership.§  §We put a lot of time and thought into making Duncan Cotterill a great firm to work for - a firm where you enjoy work, you are challenged, and you achieve.§  §Our Resource Management team deal with a range from work from rural based clients through to commercially based transactions. Our clients are successful, ambitious and driven. They think hard about what they're doing, and they expect us to do the same on their behalf.§  §We're looking for a talented and experienced solicitor with 2 - 4 years with commercial experience. Sitting within our resource management team, this role has the unique benefit of having a dual focus, supporting clients on both commercial and resource management matters.§  §The right candidate will have a strong commercial awareness, great technical skills and some expertise in the field, along with a self-starting initiative and a natural interest in supporting agri and rural based resource management work.§  §We want someone who:§ § §is capable, but just as importantly, will be proactive§ §has a natural commercial awareness and aptitude§ §has previous experience which includes commercial, property, trust and agri skills.§ §In return we can offer a number of opportunities to:§ § §work closely with our partners who work with an accessible, open door policy§ §receive multiple levels of support from peers, colleagues, partners and professionals§ §deal with interesting work and a wide range of different clients§ §access ongoing training and development§ §be immersed in our fantastic culture, something that we're very proud of§ §be exposed to great professional support networks§ §With stunning modern offices just a short walk from Hagley Park, working alongside a talented team of lawyers - this is the perfect opportunity to advance your career in a supportive environment.§  §To apply please email your CV, cover letter and academic transcript to §careers@duncancotterill.com§§§§§"
50537178,https://www.seek.co.nz/job/50537178,"Legal Assistant/Executive Job in Waikato - SEEK","Tompkins Wake Lawyers","9 Sept 2020","Full Time","Waikato, Hamilton",Legal,"Legal Secretaries",""," ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50537178.txt	§Legal Assistant/Executive§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Legal Assistant/Executive§§Advertiser: §Tompkins Wake Lawyers§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Waikato§, §Hamilton§§Salary§§$55,000 - $64,999§§Work Type§§Full Time§§Classification§§Legal§, §Legal Secretaries§§§§§§§§§  §    §    §      §Legal Assistant/Executive §      §        §Here at Tompkins Wake, we firmly believe great people attract great people. Is that you?§        §Our rich, family-like culture is the backbone of our firm. Our people are at the forefront of everything we do. We know that we create the right environment for our people to be their best and that will deliver the best outcomes for both for our people and for our clients.§        § And because our office and support staff are the heart and soul of the team, you’ll have the opportunity to make a positive difference to every person at Tompkins Wake.§        §Our busy Property Team has §two unique roles§ available which combine legal secretarial skills with a junior legal executive role. These roles are ideal for candidates who would like to take the next steps in their career.§        §We are looking for someone who is bright, has a “can do” attitude and is enthusiastic.  As you will be working in a corporate environment and representing our firm when you are out and about, it is imperative that you have a high level of personal presentation.§        §The successful applicants will have a minimum of §three years§ experience as a §Legal Property Secretary and/or will have commenced or completed their Legal Executive qualifications. §They;§        §          §Will provide secretarial support with a high level of technical ability and people skills§          §Have an excellent understanding of property transactions and trusts§          §Consistently produce a high standard of work§          §Have extensive MS Word and Outlook skills§          §Will be well organised, systematic, efficient and can work electronically§          §Understand the importance of deadlines and can effectively manage multiple priorities§        §        §Alongside other values, we are focused on providing our people with a great working environment and the support they need to succeed not only in their roles, but also to thrive professionally and personally.§        §Our property team works incredibly well together and enjoys collaborating with the other teams in our Firm. That’s not just in a professional environment, we regularly offer events and get-togethers outside of work hours that many of our team participate in such as quiz nights, family events and corporate sporting teams.§        § With offices in Hamilton, Auckland, Rotorua and Tauranga, we’re well-positioned to serve the North Island’s Golden Triangle.§        §If you want to be part of a team that works together and celebrates success, apply now.  Applications close on§ 18 September.  §All applications must be made through Seek and need to include a cover letter and your CV§      §      §      §    §  §§§Here at Tompkins Wake, we firmly believe great people attract great people. Is that you?§  §Our rich, family-like culture is the backbone of our firm. Our people are at the forefront of everything we do. We know that we create the right environment for our people to be their best and that will deliver the best outcomes for both for our people and for our clients.§  § And because our office and support staff are the heart and soul of the team, you’ll have the opportunity to make a positive difference to every person at Tompkins Wake.§  §Our busy Property Team has §two unique roles§ available which combine legal secretarial skills with a junior legal executive role. These roles are ideal for candidates who would like to take the next steps in their career.§  §We are looking for someone who is bright, has a “can do” attitude and is enthusiastic.  As you will be working in a corporate environment and representing our firm when you are out and about, it is imperative that you have a high level of personal presentation.§  §The successful applicants will have a minimum of §three years§ experience as a §Legal Property Secretary and/or will have commenced or completed their Legal Executive qualifications. §They;§ § §Will provide secretarial support with a high level of technical ability and people skills§ §Have an excellent understanding of property transactions and trusts§ §Consistently produce a high standard of work§ §Have extensive MS Word and Outlook skills§ §Will be well organised, systematic, efficient and can work electronically§ §Understand the importance of deadlines and can effectively manage multiple priorities§ §Alongside other values, we are focused on providing our people with a great working environment and the support they need to succeed not only in their roles, but also to thrive professionally and personally.§  §Our property team works incredibly well together and enjoys collaborating with the other teams in our Firm. That’s not just in a professional environment, we regularly offer events and get-togethers outside of work hours that many of our team participate in such as quiz nights, family events and corporate sporting teams.§  § With offices in Hamilton, Auckland, Rotorua and Tauranga, we’re well-positioned to serve the North Island’s Golden Triangle.§  §If you want to be part of a team that works together and celebrates success, apply now.  Applications close on§ 18 September.  §All applications must be made through Seek and need to include a cover letter and your CV§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a legal assistant?§Which of the following Microsoft Office products are you experienced with?§What&#x27;s your average typing speed?§§§"
50538229,https://www.seek.co.nz/job/50538229,"Junior Criminal Defence Lawyer Job in Auckland - SEEK","Daniel Schellenberg Barrister","9 Sept 2020","Full Time","Auckland, Auckland Central",Legal,"Criminal & Civil Law","","   ","How many years"," right to live and work ","TXT/50538229.txt	§Junior Criminal Defence Lawyer§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Junior Criminal Defence Lawyer§§Advertiser: §Daniel Schellenberg Barrister§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Legal§, §Criminal &amp; Civil Law§§§§§§Daniel Schellenberg Barrister seeks a junior lawyer to join his criminal defence Chambers based at 59 High Street, Central Auckland.§  §We represent clients facing the full spectrum of criminal offences. This includes appellate work in the High Court and Court of Appeal.§  §This is a full-time role based in Central Auckland for a lawyer recently admitted to the Bar to three years PQE.§  §Please do not apply if you are not admitted to the Bar.§  §Experience in criminal law is preferred but not essential for this role. The ideal candidate will have a PAL 1 Criminal Legal Aid listing or the ability to gain this in a short space of time.§  §You need to be able to drive to Courts throughout the Auckland region.§  §We are looking for someone with a strong sense of justice who wants to do their part in making a difference. §  §The role involves:§ § §Junioring on jury trials§ §Regular Court appearances§ §Interviewing clients§ §Drafting legal submissions§ §Assisting with administration§ §Full training and support including continuing professional development requirements will be provided. Your practicing certificate will be paid for. §  §The ideal candidate will be highly self-motivated, well organised, conscientious and hard working. The ability to be able to work independently as well as part of a team is important.§  §This is an exciting opportunity to develop your career and learn new skills as a criminal defence lawyer.§  §To apply, please complete the application form, attaching your CV, academic transcript and a cover letter.§  §Applications close 9 October 2020 at 5pm.§  §For further information about Daniel Schellenberg Barrister please visit our website: www.crimelawyer.co.nz§§§§The application form will include these questions:§§How many years&#x27; experience do you have in criminal &amp; civil law?§Have you completed a qualification in law?§What&#x27;s your expected annual base salary?§Do you have a current New Zealand driver&#x27;s licence?§Do you own or have regular access to a car?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50539463,https://www.seek.co.nz/job/50539463,"Document Formatting Specialists Job in Auckland - SEEK","Document Direct","9 Sept 2020",Contract/Temp,"Auckland, Rodney & North Shore",Legal,"Generalists - In-house","","  ","How many years","","TXT/50539463.txt	§Document Formatting Specialists§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Document Formatting Specialists§§Advertiser: §Document Direct§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Salary§§$25 - $29.99 per hour§§Work Type§§Contract/Temp§§Classification§§Legal§, §Generalists - In-house§§§§§§DOCUMENT FORMATTING SPECIALISTS§Document Direct is growing very fast, and we are looking to expand our team.  We are undergoing a busy recruitment drive, and invite excellent Document Production/Formatting Specialists to join our existing team.§Our document formatting specialists are self-employed and work from home using their own computer and broadband connection and are required to have a fully operating foot pedal and headset. §As a Document Formatting Specialist you will work as part of a team and will utilise your advanced skills to support fast and accurate creation and formatting of documents, spreadsheets and presentations, adhering to specific firms house styles.§The rate of pay for the work will be discussed upon application. §ESSENTIAL COMPETENCIES REQUIRED FOR THE ROLE:§Applicants should be able to create, format and update Word documents, using advanced knowledge of Microsoft Word functions such as:§Word styles (creating, editing and troubleshooting);§Multi-Level Numbered lists &amp; linking to heading styles;§Cross referencing;§Bookmarks; and§Tables of Contents.§Ability to learn and adhere to various client’s house styles, utilising the appropriate templates to ensure efficiency, accuracy and consistency.§A good working knowledge of Excel and PowerPoint to be able to create and edit spreadsheets and presentations. §Previous experience of converting PDF’s to Word/Excel is advantageous.§Be able to troubleshoot and health check document formatting.§Accurately interpret complex fee earner instructions and produce documents within the required timescales, seeking clarification when necessary.§Be able to work under pressure and to tight deadlines.§Proofread and quality check all work to ensure that completed documents are delivered accurately and to an appropriately high standard. §Adhere to Document Direct’s working practices.§EXPERIENCE:§Ideal applicants should have recent experience of working within a Document Production unit in a law firm or similar professional services organisations.§Experience of case management systems.§Be familiar with Outlook.§Personal Attributes:§Applicants should be professional with a flexible approach and work closely as part of the Document Production Team. They should also take pride in their work and be willing to learn. §Document Direct is a 100% remote worker company.  We have systems and processes in place to assist our workers to deliver the best service possible to our clients.  You are required to work from home, independently, and make good use of online resources and knowledge base.§§§§The application form will include these questions:§§How many years&#x27; experience do you have in corporate &amp; commercial law?§Which of the following Microsoft Office products are you experienced with?§Do you have a current Police Check (Criminal Record Check) for employment?§§§"
